Event,TimeH,Mins,Infectedby,Seeding,Recency,Category,ID,NoContacts
I,0,0,NA,S,Recent,0,0,4
I,0,5,0,N,Recent,0,2,1
I,0,6,0,N,Recent,0,3,3
I,0,16,0,N,Recent,0,1,2
I,0,17,3,N,Recent,0,8,3
I,0,19,0,N,Recent,0,4,3
R,0,19,NA,N,Recent,0,0,NA
I,0,19,3,N,Recent,0,9,3
I,0,20,9,N,Recent,0,22,3
I,0,20,22,N,Recent,0,50,3
I,0,21,8,N,Recent,0,20,1
R,0,21,NA,N,Recent,0,8,NA
I,0,22,22,N,Recent,0,51,1
I,0,24,2,N,Recent,0,7,1
R,0,24,NA,N,Recent,0,2,NA
I,0,24,3,N,Recent,0,10,1
R,0,24,NA,N,Recent,0,3,NA
I,0,26,4,N,Recent,0,12,2
I,0,26,4,N,Recent,0,13,3
R,0,26,NA,N,Recent,0,4,NA
I,0,26,20,N,Recent,0,48,2
R,0,26,NA,N,Recent,0,20,NA
R,0,26,NA,N,Recent,0,48,NA
I,0,27,4,N,Recent,0,11,3
I,0,27,7,N,Recent,0,17,3
R,0,27,NA,N,Recent,0,7,NA
I,0,27,9,N,Recent,0,23,3
R,0,27,NA,N,Recent,0,9,NA
I,0,27,10,N,Recent,0,24,3
R,0,27,NA,N,Recent,0,10,NA
I,0,28,1,N,Recent,0,5,2
I,0,28,9,N,Recent,0,21,1
I,0,29,5,N,Recent,0,15,3
R,0,29,NA,N,Recent,0,5,NA
I,0,29,24,N,Recent,0,58,1
R,0,29,NA,N,Recent,0,24,NA
I,0,30,13,N,Recent,0,32,2
R,0,30,NA,N,Recent,0,13,NA
I,0,30,15,N,Recent,0,35,1
I,0,30,24,N,Recent,0,56,1
I,0,32,1,N,Recent,0,6,1
R,0,32,NA,N,Recent,0,1,NA
I,0,32,11,N,Recent,0,27,1
R,0,32,NA,N,Recent,0,11,NA
I,0,32,17,N,Recent,0,40,2
I,0,32,24,N,Recent,0,57,3
I,0,32,35,N,Recent,0,77,1
R,0,32,NA,N,Recent,0,35,NA
I,0,33,8,N,Recent,0,19,3
I,0,33,12,N,Recent,0,28,2
I,0,33,32,N,Recent,0,72,2
I,0,33,48,N,Recent,0,99,3
I,0,34,27,N,Recent,0,64,2
R,0,34,NA,N,Recent,0,27,NA
I,0,35,11,N,Recent,0,26,2
I,0,35,23,N,Recent,0,54,1
I,0,36,8,N,Recent,0,18,2
I,0,36,19,N,Recent,0,47,2
R,0,36,NA,N,Recent,0,19,NA
I,0,37,18,N,Recent,0,43,2
I,0,37,28,N,Recent,0,66,2
R,0,37,NA,N,Recent,0,28,NA
I,0,38,11,N,Recent,0,25,3
I,0,38,15,N,Recent,0,34,1
I,0,38,22,N,Recent,0,52,2
R,0,38,NA,N,Recent,0,22,NA
I,0,38,23,N,Recent,0,55,3
R,0,38,NA,N,Recent,0,23,NA
I,0,39,23,N,Recent,0,53,2
I,0,40,19,N,Recent,0,45,2
I,0,40,26,N,Recent,0,62,1
I,0,41,28,N,Recent,0,65,1
I,0,41,43,N,Recent,0,92,3
R,0,41,NA,N,Recent,0,43,NA
I,0,42,5,N,Recent,0,14,1
I,0,42,6,N,Recent,0,16,3
R,0,42,NA,N,Recent,0,6,NA
I,0,43,14,N,Recent,0,33,2
R,0,43,NA,N,Recent,0,14,NA
I,0,43,40,N,Recent,0,84,2
R,0,43,NA,N,Recent,0,40,NA
I,0,44,12,N,Recent,0,29,3
R,0,44,NA,N,Recent,0,12,NA
I,0,44,13,N,Recent,0,30,1
I,0,44,16,N,Recent,0,39,1
R,0,44,NA,N,Recent,0,16,NA
I,0,44,17,N,Recent,0,41,3
I,0,45,13,N,Recent,0,31,1
I,0,45,16,N,Recent,0,38,1
I,0,45,25,N,Recent,0,59,3
I,0,45,40,N,Recent,0,83,1
I,0,46,15,N,Recent,0,36,2
R,0,46,NA,N,Recent,0,15,NA
I,0,46,17,N,Recent,0,42,3
R,0,46,NA,N,Recent,0,17,NA
I,0,46,25,N,Recent,0,61,2
R,0,46,NA,N,Recent,0,25,NA
I,0,46,34,N,Recent,0,76,2
R,0,46,NA,N,Recent,0,34,NA
I,0,46,41,N,Recent,0,87,3
R,0,46,NA,N,Recent,0,41,NA
I,0,47,18,N,Recent,0,44,1
R,0,47,NA,N,Recent,0,18,NA
I,0,47,21,N,Recent,0,49,2
R,0,47,NA,N,Recent,0,21,NA
I,0,47,41,N,Recent,0,86,1
I,0,47,47,N,Recent,0,98,1
R,0,47,NA,N,Recent,0,47,NA
I,0,48,36,N,Recent,0,79,2
R,0,48,NA,N,Recent,0,36,NA
I,0,49,16,N,Recent,0,37,1
I,0,49,29,N,Recent,0,68,3
I,0,49,31,N,Recent,0,71,3
R,0,49,NA,N,Recent,0,31,NA
I,0,49,32,N,Recent,0,73,1
R,0,49,NA,N,Recent,0,32,NA
I,0,50,26,N,Recent,0,63,1
R,0,50,NA,N,Recent,0,26,NA
I,0,50,36,N,Recent,0,78,2
I,0,50,42,N,Recent,0,89,2
I,0,51,25,N,Recent,0,60,3
I,0,51,45,N,Recent,0,95,3
R,0,51,NA,N,Recent,0,45,NA
I,0,52,19,N,Recent,0,46,1
I,0,52,43,N,Recent,0,91,1
I,0,54,29,N,Recent,0,69,3
R,0,54,NA,N,Recent,0,29,NA
I,0,54,39,N,Recent,0,82,3
R,0,54,NA,N,Recent,0,39,NA
I,0,54,42,N,Recent,0,90,3
R,0,54,NA,N,Recent,0,42,NA
I,0,55,33,N,Recent,0,74,3
I,0,55,47,N,Recent,0,97,1
I,0,56,42,N,Recent,0,88,1
I,0,56,45,N,Recent,0,94,1
I,0,59,30,N,Recent,0,70,1
R,0,59,NA,N,Recent,0,30,NA
I,1,0,29,N,Recent,0,67,2
I,1,2,33,N,Recent,0,75,2
R,1,2,NA,N,Recent,0,33,NA
I,1,3,41,N,Recent,0,85,2
I,1,4,38,N,Recent,0,81,3
R,1,4,NA,N,Recent,0,38,NA
I,1,6,37,N,Recent,0,80,1
R,1,6,NA,N,Recent,0,37,NA
I,1,6,48,N,Recent,0,93,1
