Event,TimeH,Mins,Infectedby,Seeding,Recency,Category,ID,NoContacts
I,11,19.1666666667,NA,S,Recent,0,35,13
I,11,19.4166666667,35,N,Recent,0,42,0
R,11,19.4166666667,NA,NA,NA,NA,42,NA
I,11,19.4666666667,35,N,Recent,0,56,0
R,11,19.4666666667,NA,NA,NA,NA,56,NA
I,11,19.5333333333,35,N,Recent,0,84,0
R,11,19.5333333333,NA,NA,NA,NA,84,NA
