serial,id
-470549064,0
-671679322,1
-1593203453,2
-1124691319,3
746424752,4
-811184037,5
-138952512,6
1553535574,7
259575732,8
-2072857406,9
-1693694582,10
597562250,11
1429149068,12
874129007,13
1335402155,14
-615598141,15
-759578601,16
-1051714139,17
-850997323,18
-145248140,19
-964285003,20
-1850556440,21
1135806354,22
-655824487,23
-1785213895,24
1825031036,25
-1897169998,26
-1836929638,27
17569306,28
224704052,29
-1007957741,30
117912465,31
1867470213,32
-1281192038,33
-1932306793,34
-267943859,35
1110483724,36
105848163,37
-1126140174,38
1302091595,39
1590596234,40
-1833315265,41
-232837229,42
276541828,43
-372181472,44
1397662496,45
-1433585104,46
-1853110647,47
987340389,48
941191109,49
940766148,50
-329847420,51
121589546,52
-1142160364,53
1686357151,54
-672145885,55
-2049118016,56
-570807074,57
-1592411624,58
1373165421,59
2093718067,60
-1832345554,61
1502189908,62
-830036456,63
-2109310405,64
1177489137,65
1357131560,66
707864583,67
-1591831738,68
1495409517,69
-219881415,70
400504658,71
840221007,72
-1249249624,73
-1499383937,74
1084715781,75
-2123108699,76
1195058397,77
284618620,78
-1924308518,79
1319467432,80
-506512546,81
1472398211,82
-1601877861,83
-1062360362,84
708347332,85
-351566446,86
337769813,87
1745361477,88
-1780465482,89
1518608239,90
-412699374,91
-1156597597,92
1045472278,93
285523671,94
-129465681,95
1377149616,96
967347043,97
1898595401,98
-282199547,99
