serial,id
-2144515396,0
-2059605006,1
-1967710724,2
-1961270616,3
-1935320890,4
-1932871530,5
-1912305331,6
-1842266494,7
-1821933803,8
-1747871151,9
-1711415484,10
-1706766978,11
-1649511589,12
-1600731667,13
-1483803288,14
-1434029990,15
-1416355700,16
-1335113821,17
-1332071524,18
-1295408325,19
-1259709415,20
-1254307818,21
-1250051181,22
-1214631201,23
-1150491640,24
-1126051397,25
-1104301737,26
-1062960164,27
-1026508348,28
-1008750917,29
-990323763,30
-953794263,31
-947362999,32
-922388356,33
-901230779,34
-892424458,35
-879249887,36
-784714830,37
-659430450,38
-642321921,39
-635379699,40
-467751815,41
-436323870,42
-262607227,43
-260579386,44
-252737854,45
-208204093,46
59828996,47
72657792,48
90474657,49
90585802,50
114865398,51
124889300,52
139504915,53
174933281,54
254822985,55
305655669,56
312419193,57
372247341,58
372710108,59
482456122,60
528462152,61
603432698,62
672447793,63
716621183,64
717800380,65
797439568,66
811967408,67
824476841,68
912966444,69
935683855,70
955912587,71
981294339,72
1054086594,73
1061309998,74
1100820558,75
1112661040,76
1132570013,77
1172785377,78
1179433693,79
1200292220,80
1237994045,81
1245353808,82
1261523739,83
1264056548,84
1289006107,85
1352544529,86
1419619065,87
1447755784,88
1740630402,89
1751965607,90
1763580930,91
1779403761,92
1884718947,93
1905828305,94
2018132023,95
2104238997,96
2122936041,97
2130538896,98
2146111223,99
